name,Country,Species,Casecode,Period,Decade,Type,Full reference,Study area,Study period,Survey method,Language
Melanitta nigra,PL,A065,PLA065,Migration,,Publication: book,"Sikora A., Chylarecki P., Meissner W., Neubauer G. (eds). 2011. Monitoring ptaków wodno-błotnych w okresie wędrówek. 
Poradnik metodyczny. GDOS, Warszawa, 158 pp.",country,,,Polish
Mergus merganser,PL,A070,PLA070,Migration,,Publication: book,"Sikora A., Chylarecki P., Meissner W., Neubauer G. (eds). 2011. Monitoring ptaków wodno-błotnych w okresie wędrówek. 
Poradnik metodyczny. GDOS, Warszawa, 158 pp.",country,,,Polish
Mergus serrator,PL,A069,PLA069,Migration,,Publication: book,"Sikora A., Chylarecki P., Meissner W., Neubauer G. (eds). 2011. Monitoring ptaków wodno-błotnych w okresie wędrówek. 
Poradnik metodyczny. GDOS, Warszawa, 158 pp.",country,,,Polish
Mergus serrator,PL,A069,PLA069,Reproduction,,Publication: book,Hordowski J. 2018. Gniazda i lęgi ptaków Polski. Blaszkodziobe. Kaczkowate Anatidae. BULiGL.,country,,,Polish
Netta rufina,PL,A058,PLA058,Migration,,Publication: book,"Tomiałojć L., Stawarczyk T. 2003. Awifauna Polski. Rozmieszczenie, liczebność i zmiany. PTPP ""pro Natura, Wrocław.",country,1800-2000,,Polish with English summaries
Netta rufina,PL,A058,PLA058,Reproduction,,Publication: book,"Stawarczyk T., Cofta T., Kajzer Z., Lontkowski J. Sikora A. 2017. Rzadkie ptaki Polski. Studio B&W Wojciech Janecki, 
Sosnowiec",country,1972-2016,,Polish with English summaries
Numenius arquata,PL,A160,PLA160,Migration,,Publication: book,"Sikora A., Chylarecki P., Meissner W., Neubauer G. (eds). 2011. Monitoring ptaków wodno-błotnych w okresie wędrówek. 
Poradnik metodyczny. GDOS, Warszawa, 158 pp.",country,,,Polish
Numenius phaeopus,PL,A158,PLA158,Migration,,Publication: book,"Sikora A., Chylarecki P., Meissner W., Neubauer G. (eds). 2011. Monitoring ptaków wodno-błotnych w okresie wędrówek. 
Poradnik metodyczny. GDOS, Warszawa, 158 pp.",country,,,Polish
Numenius phaeopus,PL,A158,PLA158,Migration,,Publication: book,"Tomiałojć L., Stawarczyk T. 2003. Awifauna Polski. Rozmieszczenie, liczebność i zmiany. PTPP ""pro Natura, Wrocław.",country,1800-2000,,Polish with English summaries
Perdix perdix,PL,A112,PLA112,Reproduction,,Publication: book,"Nasiadka P., Dziedzic R., 2014. Podręcznik najlepszych praktyk ochrony kuropatwy i zająca. CKPŚ, Warszawa",country,1981-2012,,Polish
Phasianus colchicus,PL,A115,PLA115,Reproduction,,Publication: book,"Dudziński W. 1988. Ptaki łowne. PWRiL, Warszawa, 291 pp.",country,,,Polish
Philomachus pugnax,PL,A151,PLA151,Reproduction,,Publication: book,"Stawarczyk T., Cofta T., Kajzer Z., Lontkowski J. Sikora A. 2017. Rzadkie ptaki Polski. Studio B&W Wojciech Janecki, 
Sosnowiec",country,1972-2016,,Polish with English summaries
Philomachus pugnax,PL,A151,PLA151,Migration,,Publication: book,"Sikora A., Chylarecki P., Meissner W., Neubauer G. (eds). 2011. Monitoring ptaków wodno-błotnych w okresie wędrówek. 
Poradnik metodyczny. GDOS, Warszawa, 158 pp.",country,,,Polish
Pica pica,PL,A343,PLA343,Reproduction,10;11;9,Publication: book,"Jerzak L., Kavanagh B., Tryjanowski P. 2005. Ptaki krukowate Polski. Bogucki Wydawnictwo Naukowe, Poznań.",country,XX c.,,"Polish
Polish with English summaries"
Corvus corone,PL,A349,PLA349,Reproduction,,Publication: book,"Jerzak L., Kavanagh B., Tryjanowski P. 2005. Ptaki krukowate Polski. Bogucki Wydawnictwo Naukowe, Poznań.",country,XXc .,,Polish with English summaries
Pluvialis apricaria,PL,A140,PLA140,Migration,,Publication: book,"Sikora A., Chylarecki P., Meissner W., Neubauer G. (eds). 2011. Monitoring ptaków wodno-błotnych w okresie wędrówek. 
Poradnik metodyczny. GDOS, Warszawa, 158 pp.",country,(passage),,Polish
Pluvialis apricaria,PL,A140,PLA140,Migration,,Publication: book,"Tomiałojć L., Stawarczyk T. 2003. Awifauna Polski. Rozmieszczenie, liczebność i zmiany. PTPP ""pro Natura, Wrocław.",country,1800-2000 (wintering),,Polish with English summaries
Pluvialis squatarola,PL,A141,PLA141,Migration,,Publication: book,"Sikora A., Chylarecki P., Meissner W., Neubauer G. (eds). 2011. Monitoring ptaków wodno-błotnych w okresie wędrówek. 
Poradnik metodyczny. GDOS, Warszawa, 158 pp.",country,(passage),,Polish
Pluvialis squatarola,PL,A141,PLA141,Migration,,Publication: book,"Tomiałojć L., Stawarczyk T. 2003. Awifauna Polski. Rozmieszczenie, liczebność i zmiany. PTPP ""pro Natura, Wrocław.",country,1800-2000 (wintering),,Polish with English summaries
Rallus aquaticus,PL,A118,PLA118,Migration,,Publication: book,"Tomiałojć L., Stawarczyk T. 2003. Awifauna Polski. Rozmieszczenie, liczebność i zmiany. PTPP ""pro Natura, Wrocław.",country,1800-2000,,Polish with English summaries
Scolopax rusticola,PL,A155,PLA155,Migration,,Publication: book,"Sikora A., Chylarecki P., Meissner W., Neubauer G. (eds). 2011. Monitoring ptaków wodno-błotnych w okresie wędrówek. 
Poradnik metodyczny. GDOS, Warszawa, 158 pp.",country,(passage),,Polish
Scolopax rusticola,PL,A155,PLA155,Migration,,Publication: book,"Tomiałojć L., Stawarczyk T. 2003. Awifauna Polski. Rozmieszczenie, liczebność i zmiany. PTPP ""pro Natura, Wrocław.",country,1800-2000 (wintering),,Polish with English summaries
Somateria mollissima,PL,A063,PLA063,Migration,,Publication: book,"Sikora A., Chylarecki P., Meissner W., Neubauer G. (eds). 2011. Monitoring ptaków wodno-błotnych w okresie wędrówek. 
Poradnik metodyczny. GDOS, Warszawa, 158 pp.",country,(passage),,Polish
Somateria mollissima,PL,A063,PLA063,Reproduction,,Publication: book,"Stawarczyk T., Cofta T., Kajzer Z., Lontkowski J. Sikora A. 2017. Rzadkie ptaki Polski. Studio B&W Wojciech Janecki, 
Sosnowiec",country,1972-2016 (breeding),,Polish with English summaries
Streptopelia turtur,PL,A210,PLA210,Migration,,Publication: book,"Tomiałojć L., Stawarczyk T. 2003. Awifauna Polski. Rozmieszczenie, liczebność i zmiany. PTPP ""pro Natura, Wrocław.",country,1800-2000,,Polish with English summaries
Sturnus vulgaris,PL,A351,PLA351,Migration,,Publication: book,"Tomiałojć L., Stawarczyk T. 2003. Awifauna Polski. Rozmieszczenie, liczebność i zmiany. PTPP ""pro Natura, Wrocław.",country,1800-2000,,Polish with English summaries
Tringa erythropus,PL,A161,PLA161,Migration,,Publication: book,"Sikora A., Chylarecki P., Meissner W., Neubauer G. (eds). 2011. Monitoring ptaków wodno-błotnych w okresie wędrówek. 
Poradnik metodyczny. GDOS, Warszawa, 158 pp.",country,(passage),,Polish
Tringa erythropus,PL,A161,PLA161,Migration,,Publication: book,"Tomiałojć L., Stawarczyk T. 2003. Awifauna Polski. Rozmieszczenie, liczebność i zmiany. PTPP ""pro Natura, Wrocław.",country,1800-2000 (wintering),,Polish with English summaries
Tringa nebularia,PL,A164,PLA164,Migration,,Publication: book,"Sikora A., Chylarecki P., Meissner W., Neubauer G. (eds). 2011. Monitoring ptaków wodno-błotnych w okresie wędrówek. 
Poradnik metodyczny. GDOS, Warszawa, 158 pp.",country,(passage),,Polish
Tringa nebularia,PL,A164,PLA164,Migration,,Publication: book,"Tomiałojć L., Stawarczyk T. 2003. Awifauna Polski. Rozmieszczenie, liczebność i zmiany. PTPP ""pro Natura, Wrocław.",country,1800-2000 (wintering),,Polish with English summaries
Tringa totanus,PL,A162,PLA162,Migration,,Publication: book,"Sikora A., Chylarecki P., Meissner W., Neubauer G. (eds). 2011. Monitoring ptaków wodno-błotnych w okresie wędrówek. 
Poradnik metodyczny. GDOS, Warszawa, 158 pp.",country,(passage),,Polish
Tringa totanus,PL,A162,PLA162,Migration,,Publication: book,"Tomiałojć L., Stawarczyk T. 2003. Awifauna Polski. Rozmieszczenie, liczebność i zmiany. PTPP ""pro Natura, Wrocław.",country,1800-2000 (wintering),,Polish with English summaries
Vanellus vanellus,PL,A142,PLA142,Migration,,Publication: book,"Sikora A., Chylarecki P., Meissner W., Neubauer G. (eds). 2011. Monitoring ptaków wodno-błotnych w okresie wędrówek. 
Poradnik metodyczny. GDOS, Warszawa, 158 pp.",country,(passage),,Polish
Vanellus vanellus,PL,A142,PLA142,Migration,,Publication: book,"Tomiałojć L., Stawarczyk T. 2003. Awifauna Polski. Rozmieszczenie, liczebność i zmiany. PTPP ""pro Natura, Wrocław.",country,1800-2000 (wintering),,Polish with English summaries
Turdus iliacus,PL,A286,PLA286,Migration,,Publication: book,"Tomiałojć L., Stawarczyk T. 2003. Awifauna Polski. Rozmieszczenie, liczebność i zmiany. PTPP ""pro Natura, Wrocław.",country,1800-2000,,Polish with English summaries
Turdus merula,PL,A283,PLA283,Migration,,Publication: book,"Tomiałojć L., Stawarczyk T. 2003. Awifauna Polski. Rozmieszczenie, liczebność i zmiany. PTPP ""pro Natura, Wrocław.",country,1800-2000,,Polish with English summaries
Turdus philomelos,PL,A285,PLA285,Migration,,Publication: book,"Tomiałojć L., Stawarczyk T. 2003. Awifauna Polski. Rozmieszczenie, liczebność i zmiany. PTPP ""pro Natura, Wrocław.",country,1800-2000,,Polish with English summaries
Turdus pilaris,PL,A284,PLA284,Migration,,Publication: book,"Tomiałojć L., Stawarczyk T. 2003. Awifauna Polski. Rozmieszczenie, liczebność i zmiany. PTPP ""pro Natura, Wrocław.",country,1800-2000,,Polish with English summaries
Turdus viscivorus,PL,A287,PLA287,Migration,,Publication: book,"Tomiałojć L., Stawarczyk T. 2003. Awifauna Polski. Rozmieszczenie, liczebność i zmiany. PTPP ""pro Natura, Wrocław.",country,1800-2000,,Polish with English summaries
Anser brachyrhynchus,PL,A040,PLA040,Migration,,Publication: book,"Sikora A., Chylarecki P., Meissner W., Neubauer G. (eds). 2011. Monitoring ptaków wodno-błotnych w okresie wędrówek. Poradnik metodyczny. GDOS, Warszawa, 158 pp.",country,,,Polish
Alauda arvensis,PL,A247,PLA247,Migration,,Publication: book,"Tomiałojć L., Stawarczyk T. 2003. Awifauna Polski. Rozmieszczenie, liczebność i zmiany. PTPP ""pro Natura, Wrocław.",country,1800-2000,,Polish with English summaries
Garrulus glandarius,PL,A342,PLA342,Reproduction,,Publication: book,"Jerzak L., Kavanagh B., Tryjanowski P. 2005. Ptaki krukowate Polski. Bogucki Wydawnictwo Naukowe, Poznań.",part of a country,XX c.,,Polish with English summaries
Corvus monedula,PL,A347,PLA347,Both,,Publication: book,"Jerzak L., Kavanagh B., Tryjanowski P. 2005. Ptaki krukowate Polski. Bogucki Wydawnictwo Naukowe, Poznań.",country,1973-1991,,Polish with English summaries
Cygnus olor,PL,A036,PLA036,Reproduction,,Publication: book,"Bocheński M., Ciebiera O., Dolata P. T., Jerzak L., Zbyryt A. 2013. Ochrona ptaków w mieście. RDOŚ w Gorzowie Wielkopolskim, Gorzów Wielkopolski",country,,,Polish
Anser anser,PL,A043,PLA043,Reproduction,,Publication: article,Dybich-Pytel A. 1994. Rytm dobowy populacji gęsi gęgawy Anser anser w Dolinie Baryczy. Ptaki Śląska 10 (1994): 37-54.,individual site,1991-1992,,Polish
Bucephala clangula,PL,A067,PLA067,Reproduction,,Publication: book,"Chylarecki P., Sikora A., Cenian Z., Chodkiewicz T. (red.) 2015. Monitoring ptaków lęgowych. Poradnik metodyczny. Wydanie 2. GIOŚ, Warszawa.",country,,,Polish
Mergus merganser,PL,A070,PLA070,Reproduction,,Publication: book,"Chylarecki P., Sikora A., Cenian Z., Chodkiewicz T. (red.) 2015. Monitoring ptaków lęgowych. Poradnik metodyczny. Wydanie 2. GIOŚ, Warszawa.",country,,,Polish
Bonasa bonasia,PL,A104,PLA104,Reproduction,10;11;12;13;14;15;16;17;18,Publication: book,"Chylarecki P., Sikora A., Cenian Z., Chodkiewicz T. (red.) 2015. Monitoring ptaków lęgowych. Poradnik metodyczny. Wydanie 2. GIOŚ, Warszawa.",country,,,Polish
Tetrao tetrix,PL,A107,PLA107,Reproduction,,Publication: book,"Chylarecki P., Sikora A., Cenian Z., Chodkiewicz T. (red.) 2015. Monitoring ptaków lęgowych. Poradnik metodyczny. Wydanie 2. GIOŚ, Warszawa.",country,,,Polish
Tetrao urogallus,PL,A108,PLA108,Reproduction,,Publication: book,"Chylarecki P., Sikora A., Cenian Z., Chodkiewicz T. (red.) 2015. Monitoring ptaków lęgowych. Poradnik metodyczny. Wydanie 2. GIOŚ, Warszawa.",country,,,Polish
Coturnix coturnix,PL,A113,PLA113,Reproduction,,Publication: book,"Tryjanowski P., Kuźniak S., Kujawa K., Jerzak L. 2009. Ekologia ptaków krajobrazu rolniczego. Bogucki Wyd. Naukowe, Poznań.",country,,,Polish
Rallus aquaticus,PL,A118,PLA118,Reproduction,,Publication: book,"Chylarecki P., Sikora A., Cenian Z., Chodkiewicz T. (red.) 2015. Monitoring ptaków lęgowych. Poradnik metodyczny. Wydanie 2. GIOŚ, Warszawa.",country,,,Polish
Fulica atra,PL,A125,PLA125,Reproduction,,Publication: book,"Chylarecki P., Sikora A., Cenian Z., Chodkiewicz T. (red.) 2015. Monitoring ptaków lęgowych. Poradnik metodyczny. Wydanie 2. GIOŚ, Warszawa.",country,,,Polish
Vanellus vanellus,PL,A142,PLA142,Reproduction,,Publication: book,"Chylarecki P., Sikora A., Cenian Z., Chodkiewicz T. (red.) 2015. Monitoring ptaków lęgowych. Poradnik metodyczny. Wydanie 2. GIOŚ, Warszawa.",country,,,Polish
Philomachus pugnax,PL,A151,PLA151,Reproduction,,Publication: book,"Chylarecki P., Sikora A., Cenian Z., Chodkiewicz T. (red.) 2015. Monitoring ptaków lęgowych. Poradnik metodyczny. Wydanie 2. GIOŚ, Warszawa.",country,,,Polish
Limosa limosa,PL,A156,PLA156,Reproduction,,Publication: book,"Chylarecki P., Sikora A., Cenian Z., Chodkiewicz T. (red.) 2015. Monitoring ptaków lęgowych. Poradnik metodyczny. Wydanie 2. GIOŚ, Warszawa.",country,,,Polish
Numenius arquata,PL,A160,PLA160,Reproduction,,Technical report,"Lewtak J., Trzciński K., Krupiński D. 2016. Krajowy Plan Ochrony Kulika Wielkiego. Towarzystwo Przyrodnicze „Bocian”, Warszawa.",country,,,Polish
Tringa totanus,PL,A162,PLA162,Reproduction,,Publication: book,"Chylarecki P., Sikora A., Cenian Z., Chodkiewicz T. (red.) 2015. Monitoring ptaków lęgowych. Poradnik metodyczny. Wydanie 2. GIOŚ, Warszawa.",country,,,Polish
Larus ridibundus,PL,A179,PLA179,Reproduction,,Publication: book,"Chylarecki P., Sikora A., Cenian Z., Chodkiewicz T. (red.) 2015. Monitoring ptaków lęgowych. Poradnik metodyczny. Wydanie 2. GIOŚ, Warszawa.",country,,,Polish
Larus canus,PL,A182,PLA182,Reproduction,,Publication: book,"Chylarecki P., Sikora A., Cenian Z., Chodkiewicz T. (red.) 2015. Monitoring ptaków lęgowych. Poradnik metodyczny. Wydanie 2. GIOŚ, Warszawa.",country,,,Polish
Larus argentatus,PL,A184,PLA184,Reproduction,,Publication: book,"Chylarecki P., Sikora A., Cenian Z., Chodkiewicz T. (red.) 2015. Monitoring ptaków lęgowych. Poradnik metodyczny. Wydanie 2. GIOŚ, Warszawa.",country,,,Polish
Columba palumbus,PL,A208,PLA208,Reproduction,,Publication: book,"Bocheński M., Ciebiera O., Dolata P. T., Jerzak L., Zbyryt A. 2013. Ochrona ptaków w mieście. RDOŚ w Gorzowie Wielkopolskim, Gorzów Wielkopolski",country,,,Polish
Streptopelia decaocto,PL,A209,PLA209,Reproduction,,Publication: book,"Bocheński M., Ciebiera O., Dolata P. T., Jerzak L., Zbyryt A. 2013. Ochrona ptaków w mieście. RDOŚ w Gorzowie Wielkopolskim, Gorzów Wielkopolski",country,,,Polish
Alauda arvensis,PL,A247,PLA247,Reproduction,,Publication: book,"Tryjanowski P., Kuźniak S., Kujawa K., Jerzak L. 2009. Ekologia ptaków krajobrazu rolniczego. Bogucki Wyd. Naukowe, Poznań.",country,,,Polish
Turdus merula,PL,A283,PLA283,Reproduction,,Publication: book,"Bocheński M., Ciebiera O., Dolata P. T., Jerzak L., Zbyryt A. 2013. Ochrona ptaków w mieście. RDOŚ w Gorzowie Wielkopolskim, Gorzów Wielkopolski",country,,,Polish
Pica pica,PL,A343,PLA343,Reproduction,10;11;12;13;14;15;16;17,Publication: book,"Bocheński M., Ciebiera O., Dolata P. T., Jerzak L., Zbyryt A. 2013. Ochrona ptaków w mieście. RDOŚ w Gorzowie Wielkopolskim, Gorzów Wielkopolski",country,,,Polish
Corvus frugilegus,PL,A348,PLA348,Reproduction,,Publication: book,"Bocheński M., Ciebiera O., Dolata P. T., Jerzak L., Zbyryt A. 2013. Ochrona ptaków w mieście. RDOŚ w Gorzowie Wielkopolskim, Gorzów Wielkopolski",country,,,Polish
Sturnus vulgaris,PL,A351,PLA351,Reproduction,,Publication: book,"Bocheński M., Ciebiera O., Dolata P. T., Jerzak L., Zbyryt A. 2013. Ochrona ptaków w mieście. RDOŚ w Gorzowie Wielkopolskim, Gorzów Wielkopolski",country,,,Polish
Gallinago gallinago,PL,A153,PLA153,Reproduction,,Publication: book,"Dudziński W. 1988. Ptaki łowne. PWRiL, Warszawa, 291 pp.",country,,,Polish
Scolopax rusticola,PL,A155,PLA155,Reproduction,,Publication: book,"Dudziński W. 1988. Ptaki łowne. PWRiL, Warszawa, 291 pp.",country,,,Polish
Turdus pilaris,PL,A284,PLA284,Reproduction,,Publication: book,"Dudziński W. 1988. Ptaki łowne. PWRiL, Warszawa, 291 pp.",country,,,Polish
Turdus viscivorus,PL,A287,PLA287,Reproduction,,Publication: book,"Dudziński W. 1988. Ptaki łowne. PWRiL, Warszawa, 291 pp.",country,,,Polish
Anas penelope,PL,A050,PLA050,Reproduction,,Publication: book,"Dudziński W. 1988. Ptaki łowne. PWRiL, Warszawa, 291 pp.",country,,,Polish
Netta rufina,PL,A058,PLA058,Reproduction,,Publication: book,"Dudziński W. 1988. Ptaki łowne. PWRiL, Warszawa, 291 pp.",country,,,Polish
Anas strepera,PL,A051,PLA051,Reproduction,,Publication: book,Hordowski J. 2018. Gniazda i lęgi ptaków Polski. Blaszkodziobe. Kaczkowate Anatidae. Część II. BULiGL.,country,,,Polish
Anas crecca,PL,A052,PLA052,Reproduction,,Publication: book,"Hordowski J. 2018. Gniazda i lęgi ptaków Polski. Blaszkodziobe, Kaczkowate Anatidae. Część II. BULiGL.",country,,,Polish
Anas platyrhynchos,PL,A053,PLA053,Reproduction,,Publication: book,Hordowski J. 2018. Gniazda i l egi ptaków Polski. Blaszkodziobe. Kaczkowate Anatidae. Część II. BULiGL.,country,,,Polish
Anas acuta,PL,A054,PLA054,Reproduction,,Publication: book,Hordowski J. 2018. Gniazda i lęgi ptaków Polski. Blaszkodziobe. Kaczkowate Anatidae. Część II. BULiGL.,country,,,Polish
Anas clypeata,PL,A056,PLA056,Reproduction,,Publication: book,Hordowski J. 2018. Gniazda i lęgi ptaków Polski. Blaszkodziobe. Kaczkowate Anatidae. Część II.BULiGL.,country,,,Polish
Aythya ferina,PL,A059,PLA059,Reproduction,,Publication: book,Hordowski J. 2018. Gniazda i lęgi ptaków Polski. Blaszkodziobe. Kaczkowate Anatidae. Część II. BULiGL.,country,,,Polish
Aythya fuligula,PL,A061,PLA061,Reproduction,,Publication: book,Hordowski J. 2018. Gniazda i lęgi ptaków Polski. Blaszkodziobe. Kaczkowate Anatidae. Część II. BULiGL.,country,,,Polish
Bucephala clangula,PL,A067,PLA067,Reproduction,,Publication: book,Hordowski J. 2018. Gniazda i lęgi ptaków Polski. Blaszkodziobe. Kaczkowate Anatidae. BULiGL.,country,,,Polish
Columba palumbus,PL,A208,PLA208,Migration,,Publication: article,"Bobrek R., Wilk T. Pępkowska-Król A. 2017. Wędrówka grzywacza Columba palumbus w polskiej części Karpat - parametry przelotów i selektywność ptaków względem czynników meteorologicznych. Ornis Polonica 58: 160-177",part of a country,2011-2015,,Polish
Turdus philomelos,PL,A285,PLA285,Reproduction,10;11;12;13;14;15;16;17;18;19;9,Publication: book,"Bykov A. M. 1896. Spisok i opisaniye kollekcii po biologii ptic Privislanskogo Kraya. In: Kollekcii Zoologicheskogo Kabineta Imperatorskogo Varshavskogo Universiteta. III., Warszawa, 120 pp.",part of a country,1890-1896,,Russian
Columba livia domestica,PL,A865,PLA865,Reproduction,,Publication: article,Hetmański T. 2004. Timing of breeding in the Feral Pigeon Columba livia f. domestica in Słupsk (NW Poland). Acta Ornithologica 39: 105-110.,individual site,1997-2001,nest control,English
Streptopelia turtur,PL,A210,PLA210,Reproduction,,Publication: book,"Gotzman J., Jabłoński B. 1972. Gniazda naszych ptaków. Państwowe Zakłady Wydawnictw Szkolnych, Warszawa.",country,,,Polish
Turdus philomelos,PL,A285,PLA285,Reproduction,11;12;13;14;15;16;17;18;19;20;21,Publication: book,"Gotzman J., Jabłoński B. 1972. Gniazda naszych ptaków. Państwowe Zakłady Wydawnictw Szkolnych, Warszawa.",country,,,Polish
Turdus iliacus,PL,A286,PLA286,Reproduction,,Publication: book,"Gotzman J., Jabłoński B. 1972. Gniazda naszych ptaków. Państwowe Zakłady Wydawnictw Szkolnych, Warszawa.",country,,,Polish
Gallinula chloropus,PL,A123,PLA123,Reproduction,,Publication: book,"Gotzman J., Jabłoński B. 1972. Gniazda naszych ptaków. Państwowe Zakłady Wydawnictw Szkolnych, Warszawa",country,,,Polish
Aythya fuligula,PL,A061,PLA061,Migration,,Publication: book,"Sikora A., Chylarecki P., Meissner W., Neubauer G. (eds). 2011. Monitoring ptaków wodno-błotnych w okresie wędrówek. Poradnik metodyczny. GDOS, Warszawa, 158 pp.",country,,,Polish
Aythya fuligula,PL,A061,PLA061,Reproduction,,Publication: article,"Stawarczyk T. 1995. Strategia rozrodcza kaczek w warunkach wysokiego zagęszczenia na stawach milickich. Acta Univ. Wrat. No 1790, prace zool. 31:1-110",individual site,1980s,,Polish
Aythya ferina,PL,A059,PLA059,Reproduction,,Publication: article,"Stawarczyk T. 1995. Strategia rozrodcza kaczek w warunkach wysokiego zagęszczenia na stawach milickich. Acta Univ. Wrat. No 1790, prace zool. 31:1-110",individual site,1980s,,"Polish
Polish"
Anas clypeata,PL,A056,PLA056,Reproduction,,Publication: article,Jantarski M. 2017. Metody oceny liczebności l egowych grążyc Aythyini i kaczek właściwyck Anatini. Ornis. Polonica 58: 117-139.,part of a country,XXI c.,,Polish
Anas querquedula,PL,A055,PLA055,Reproduction,,Publication: article,Hordowski J. 2018. Gniazda i lęgi ptaków Polski. Blaszkodziobe. Kaczkowate Anatidae. Część II. BULiGL.,country,,,Polish
Anser anser,PL,A043,PLA043,Migration,,Publication: book,"Tomiałojć L., Stawarczyk T. 2003. Awifauna Polski. Rozmieszczenie, liczebność i zmiany.PTPP ""pro Natura, Wrocław.",country,1800-2000,,Polish with English summaries
Anser fabalis,PL,A039,PLA039,Migration,,Publication: book,"Sikora A., Chylarecki P., Meissner W., Neubauer G. (eds). 2011. Monitoring ptaków wodno-błotnych w okresie wędrówek. Poradnik metodyczny. GDOS, Warszawa, 158 pp.",country,,,Polish
Aythya ferina,PL,A059,PLA059,Migration,,Publication: book,"Sikora A., Chylarecki P., Meissner W., Neubauer G. (eds). 2011. Monitoring ptaków wodno-błotnych w okresie wędrówek. Poradnik metodyczny. GDOS, Warszawa, 158 pp.",country,,,Polish
Anas acuta,PL,A054,PLA054,Migration,,Publication: book,"Sikora A., Chylarecki P., Meissner W., Neubauer G. (eds). 2011. Monitoring ptaków wodno-błotnych w okresie wędrówek. Poradnik metodyczny. GDOS, Warszawa, 158 pp.",country,,,Polish
Anas acuta,PL,A054,PLA054,Reproduction,,Publication: article,Jantarski M. 2017. Metody oceny liczebności l egowych grążyc Aythyini i kaczek właściwyck Anatini. Ornis. Polonica 58: 117-139.,individual site,2014,,Polish
Anas clypeata,PL,A056,PLA056,Migration,,Publication: book,"Sikora A., Chylarecki P., Meissner W., Neubauer G. (eds). 2011. Monitoring ptaków wodno-błotnych w okresie wędrówek. Poradnik metodyczny. GDOS, Warszawa, 158 pp.",country,,,Polish
Anas crecca,PL,A052,PLA052,Migration,,Publication: book,"Sikora A., Chylarecki P., Meissner W., Neubauer G. (eds). 2011. Monitoring ptaków wodno-błotnych w okresie wędrówek. Poradnik metodyczny. GDOS, Warszawa, 158 pp.",country,,,Polish
Anas penelope,PL,A050,PLA050,Migration,,Publication: book,"Sikora A., Chylarecki P., Meissner W., Neubauer G. (eds). 2011. Monitoring ptaków wodno-błotnych w okresie wędrówek. Poradnik metodyczny. GDOS, Warszawa, 158 pp.",country,,,Polish
Anas penelope,PL,A050,PLA050,Reproduction,,Publication: book,"Stawarczyk T., Cofta T., Kajzer Z., Lontkowski J. Sikora A. 2017. Rzadkie ptaki Polski. Studio B&W Wojciech Janecki, Sosnowiec",country,1972-2016,,Polish with English summaries
Anas platyrhynchos,PL,A053,PLA053,Migration,,Publication: book,"Sikora A., Chylarecki P., Meissner W., Neubauer G. (eds). 2011. Monitoring ptaków wodno-błotnych w okresie wędrówek. Poradnik metodyczny. GDOS, Warszawa, 158 pp.",country,,,Polish
Anas querquedula,PL,A055,PLA055,Migration,,Publication: book,"Sikora A., Chylarecki P., Meissner W., Neubauer G. (eds). 2011. Monitoring ptaków wodno-błotnych w okresie wędrówek. Poradnik metodyczny. GDOS, Warszawa, 158 pp.",country,,,Polish
Anas strepera,PL,A051,PLA051,Migration,,Publication: book,"Sikora A., Chylarecki P., Meissner W., Neubauer G. (eds). 2011. Monitoring ptaków wodno-błotnych w okresie wędrówek. Poradnik metodyczny. GDOS, Warszawa, 158 pp.",country,,,Polish
Anser albifrons,PL,A041,PLA041,Migration,,Publication: book,"Sikora A., Chylarecki P., Meissner W., Neubauer G. (eds). 2011. Monitoring ptaków wodno-błotnych w okresie wędrówek. Poradnik metodyczny. GDOS, Warszawa, 158 pp.",country,,,Polish
Anas penelope,PT,A050,PTA050,Migration,,,"COSTA, L.T. & R. S. GUEDES, 1994. Contagens de Anatídeos Invernantes em Portugal. Invernos de 1992/93. Estudos de Biologia e Conservação da Natureza No.14. ICN, Lisboa.",,,,
Anas strepera,PT,A051,PTA051,Migration,,,"COSTA, L.T. & R. S. GUEDES, 1994. Contagens de Anatídeos Invernantes em Portugal. Invernos de 1992/93. Estudos de Biologia e Conservação da Natureza No.14. ICN, Lisboa.",,,,
Anas crecca,PT,A052,PTA052,Migration,,,"COSTA, L.T. & R. S. GUEDES, 1994. Contagens de Anatídeos Invernantes em Portugal. Invernos de 1992/93. Estudos de Biologia e Conservação da Natureza No.14. ICN, Lisboa.",,,,
Anas platyrhynchos,PT,A053,PTA053,Migration,,,"COSTA, L.T. & R. S. GUEDES, 1994. Contagens de Anatídeos Invernantes em Portugal. Invernos de 1992/93. Estudos de Biologia e Conservação da Natureza No.14. ICN, Lisboa.",,,,
Anas acuta,PT,A054,PTA054,Migration,,,"COSTA, L.T. & R. S. GUEDES, 1994. Contagens de Anatídeos Invernantes em Portugal. Invernos de 1992/93. Estudos de Biologia e Conservação da Natureza No.14. ICN, Lisboa.",,,,
Anas clypeata,PT,A056,PTA056,Migration,,,"COSTA, L.T. & R. S. GUEDES, 1994. Contagens de Anatídeos Invernantes em Portugal. Invernos de 1992/93. Estudos de Biologia e Conservação da Natureza No.14. ICN, Lisboa.",,,,
Netta rufina,PT,A058,PTA058,Migration,,,"COSTA, L.T. & R. S. GUEDES, 1994. Contagens de Anatídeos Invernantes em Portugal. Invernos de 1992/93. Estudos de Biologia e Conservação da Natureza No.14. ICN, Lisboa.",,,,
