name,Country,Species,Casecode,Period,Decade,Type,Full reference,Study area,Study period,Survey method,Language
Haematopus ostralegus,DE,A130,DEA130,Both,,Technical report,Internal report prepared by DDA to Federal Agency for Nature Conservation,country,2012-2018,Analysis of citizen science data (ornitho.de),German
Pluvialis apricaria,DE,A140,DEA140,Migration,,Technical report,Internal report prepared by DDA to Federal Agency for Nature Conservation,country,2012-2018,Analysis of citizen science data (ornitho.de),German
Pluvialis squatarola,DE,A141,DEA141,Migration,,Technical report,Internal report prepared by DDA to Federal Agency for Nature Conservation,country,2012-2018,Analysis of citizen science data (ornitho.de),German
Vanellus vanellus,DE,A142,DEA142,Both,,Technical report,Internal report prepared by DDA to Federal Agency for Nature Conservation,country,2012-2018,Analysis of citizen science data (ornitho.de),German
Philomachus pugnax,DE,A151,DEA151,Migration,,Technical report,Internal report prepared by DDA to Federal Agency for Nature Conservation,country,2012-2018,Analysis of citizen science data (ornitho.de),German
Lymnocryptes minimus,DE,A152,DEA152,Migration,,Technical report,Internal report prepared by DDA to Federal Agency for Nature Conservation,country,2012-2018,Analysis of citizen science data (ornitho.de),German
Gallinago gallinago,DE,A153,DEA153,Both,,Technical report,Internal report prepared by DDA to Federal Agency for Nature Conservation,country,2012-2018,Analysis of citizen science data (ornitho.de),German
Scolopax rusticola,DE,A155,DEA155,Both,,Technical report,Internal report prepared by DDA to Federal Agency for Nature Conservation,country,2012-2018,Analysis of citizen science data (ornitho.de),German
Limosa lapponica,DE,A157,DEA157,Migration,,Technical report,Internal report prepared by DDA to Federal Agency for Nature Conservation,country,2012-2018,Analysis of citizen science data (ornitho.de),German
Numenius phaeopus,DE,A158,DEA158,Migration,,Technical report,Internal report prepared by DDA to Federal Agency for Nature Conservation,country,2012-2018,Analysis of citizen science data (ornitho.de),German
Numenius arquata,DE,A160,DEA160,Both,,Technical report,Internal report prepared by DDA to Federal Agency for Nature Conservation,country,2012-2018,Analysis of citizen science data (ornitho.de),German
Tringa erythropus,DE,A161,DEA161,Migration,,Technical report,Internal report prepared by DDA to Federal Agency for Nature Conservation,country,2012-2018,Analysis of citizen science data (ornitho.de),German
Tringa totanus,DE,A162,DEA162,Both,,Technical report,Internal report prepared by DDA to Federal Agency for Nature Conservation,country,2012-2018,Analysis of citizen science data (ornitho.de),German
Tringa nebularia,DE,A164,DEA164,Migration,,Technical report,Internal report prepared by DDA to Federal Agency for Nature Conservation,country,2012-2018,Analysis of citizen science data (ornitho.de),German
